id,Exercise name,Gender,instructions,avg_time_per_rep,is_per_side,exercise_type,place,equipments,requires_weight,weight_unit,recommended_weight_range
1,180  Twisting Jump Squats,both,"1. Stand with feet shoulder-width apart, knees slightly bent. 2. Lower into a partial squat, keeping back straight. 3. Explosively jump up, twisting your body 180 degrees in mid-air. 4. Land softly in a squat position facing the opposite direction. 5. Repeat, jumping back to the starting position.",3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
2,Ab Crunch Machine,both,"1. Sit on the machine and adjust the seat height so the pivot point aligns with your waist. 2. Place feet firmly on the floor or foot pads. 3. Grasp handles near your head or cross arms over chest. 4. Exhale and crunch your upper body forward using your abs, not your arms. 5. Inhale as you slowly return to the starting position.",3,false,Strength,Gym,"[""Machine""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
3,Ab Roller  Wheel Rollout  Kneeling Roll Extensions,both,"1. Kneel on the floor, grasping the ab roller handles. 2. Engage your core and slowly roll the wheel forward, extending your body. 3. Go as far as you can without arching your back. 4. Use your abs to pull yourself back to the starting kneeling position.",3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
4,Adductor  Adduction Inner Thigh Machine,both,"1. Sit on the adductor machine with pads against the inside of your knees. 2. Select an appropriate weight. 3. Squeeze your legs together until the pads touch. 4. Slowly return to the starting position, maintaining tension.",3,false,Strength,Gym,"[""Machine""]",true,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
5,Agility Ladder Drills,both,"1. Lay the agility ladder flat on the ground. 2. Perform various footwork drills (e.g., high knees, in-in-out-out) moving through the rungs. 3. Stay light on your toes and coordinate arm movements. 4. Increase speed as you get comfortable with the pattern.",3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
6,Air Squats,both,"1. Stand with feet shoulder-width apart, toes slightly out. 2. Initiate the movement by pushing hips back and down. 3. Lower until hips are below knees (or comfortable depth). 4. Keep chest up and heels down. 5. Drive back up to standing.",3,false,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
7,Alternate Heel Touches  Lying Oblique Reach,both,"1. Lie on your back with knees bent and feet flat on the floor. 2. Lift your head and shoulders slightly off the ground. 3. Reach your right hand toward your right heel, crunching your side. 4. Return to center, then reach left hand to left heel. 5. Continue alternating.",3,false,Strength,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
8,Alternating Bodyweight Lunges,both,"1. Stand tall with feet hip-width apart. 2. Step forward with one leg, lowering hips until both knees are at ~90 degrees. 3. Back knee should hover just above the floor. 4. Push off the front foot to return to start. 5. Repeat on the other leg.",3,true,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
9,Alternating Curtsy Lunges,both,1. Stand tall. 2. Step your right foot back and behind your left leg (like a curtsy). 3. Lower your hips until your left thigh is parallel to the floor. 4. Return to standing. 5. Switch sides.,3,true,Bodyweight,Home,"[""None (Bodyweight)""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
10,Ankle Circles  Rotations  Rolls,both,"1. Sit or stand comfortably. 2. Lift one foot off the ground. 3. Rotate your ankle in a circle, moving through the full range of motion. 4. Perform reps clockwise, then counter-clockwise. 5. Switch feet.",15,false,Stretching,Gym,"[""Gym Equipment""]",false,kg,"{""beginner"": ""5-10"", ""intermediate"": ""15-25"", ""advanced"": ""30+""}"
