Name of the exercise,image,Type,avg_time_reps,instructions,Focus_area,common_mistakes,tips,place,equipments
Push-Up,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?q=80&w=1000&auto=format&fit=crop,reps,2.0,"Start in a plank position with hands under shoulders. Lower your body until your chest nearly touches the floor, then push back up.",chest:60; shoulders:20; triceps:20,"Sagging hips: Keep your body in a straight line.","Engage your core throughout the movement.",home; gym,none
Plank,https://images.unsplash.com/photo-1541534741688-6078c6bfb5c5?q=80&w=1000&auto=format&fit=crop,duration,60.0,"Lie face down, then lift your body onto your toes and forearms, keeping your body straight. Hold this position.",core:100,"Dropping hips: Maintain a straight line from head to heels.","Focus on breathing steadily.",home; gym,none
Squat,https://images.unsplash.com/photo-1434608519344-49d77a699e1d?q=80&w=1000&auto=format&fit=crop,reps,3.0,"Stand with feet shoulder-width apart. Lower your body by bending knees and hips, keeping your back straight, then return to standing.",quadriceps:50; glutes:30; hamstrings:20,"Knees caving in: Keep knees aligned with toes.","Keep your weight on your heels.",home; gym,none
Lunges,https://images.unsplash.com/photo-1574680178050-55c6a6a96e0a?q=80&w=1000&auto=format&fit=crop,reps,4.0,"Step forward with one leg and lower your hips until both knees are bent at about 90 degrees. Push back to the starting position.",quadriceps:40; glutes:40; hamstrings:20,"Front knee extending past toes: Keep knee above ankle.","Engage your core for balance.",home; gym,none
Deadlift,https://images.unsplash.com/photo-1541534741688-6078c6bfb5c5?q=80&w=1000&auto=format&fit=crop,reps,4.0,"Stand with feet hip-width apart. Bend at hips and knees to grip the barbell. Lift by straightening hips and knees, keeping the bar close to your body.",hamstrings:40; glutes:40; lower back:20,"Rounding back: Keep spine neutral.","Engage your core before lifting.",gym,barbell
Bench Press,https://images.unsplash.com/photo-1517838277536-f5f99be501cd?q=80&w=1000&auto=format&fit=crop,reps,3.0,"Lie on a bench with feet flat on the floor. Grip the barbell slightly wider than shoulder-width. Lower the bar to your chest, then press it back up.",chest:60; triceps:30; shoulders:10,"Bouncing bar off chest: Lower with control.","Keep wrists straight.",gym,barbell; bench
Pull-Up,https://images.unsplash.com/photo-1598971639058-a9a3a1c3a2a1?q=80&w=1000&auto=format&fit=crop,reps,3.0,"Hang from a bar with palms facing away. Pull your body up until your chin is above the bar, then lower back down.",back:60; biceps:30; shoulders:10,"Using momentum: Perform controlled movements.","Engage your scapulae at the start.",gym,pull-up bar
Bicep Curl,https://images.unsplash.com/photo-1581009146145-b5ef050c2e1e?q=80&w=1000&auto=format&fit=crop,reps,2.5,"Stand with a dumbbell in each hand, palms facing forward. Curl the weights while keeping upper arms stationary, then lower.",biceps:100,"Swinging weights: Keep elbows stationary.","Control the movement both up and down.",home; gym,dumbbells
Tricep Dip,https://images.unsplash.com/photo-1598971639058-d79c9972a3a1?q=80&w=1000&auto=format&fit=crop,reps,3.0,"Sit on the edge of a bench. Place hands next to hips, slide hips off, and lower body by bending elbows. Push back up.",triceps:100,"Shoulders hunching: Keep shoulders down.","Keep elbows pointing back.",home; gym,bench
Shoulder Press,https://images.unsplash.com/photo-1532029837206-abbe2b7620e3?q=80&w=1000&auto=format&fit=crop,reps,3.0,"Hold dumbbells at shoulder height with palms facing forward. Press the weights overhead until arms are straight, then lower.",shoulders:100,"Arching back: Engage core to stabilize.","Don't lock elbows at the top.",home; gym,dumbbells
