exercise_id,tip
1,Land softly on the balls of your feet to protect your joints.
1,Use your arms to generate momentum during the jump.
1,Keep your chest up and core engaged throughout.
2,Focus on moving your ribcage towards your pelvis.
2,Do not pull with your hands; let your abs do the work.
2,Control the return movement; don't let the weights slam.
3,Keep a slight curve in your back (cat pose) to protect your spine.
3,Keep your arms straight but not locked.
3,Move slowly and with control.
4,Keep your back firmly against the backrest.
4,Don't let the weights touch the stack between reps.
4,Focus on the inner thigh muscles.
5,Focus on accuracy before speed.
5,Keep your weight on the balls of your feet.
5,Pump your arms to match your leg rhythm.
6,Keep your weight in your heels and mid-foot.
6,Drive knees outward to track over toes.
6,"Inhale down, exhale up."
7,Keep your lower back pressed into the floor.
7,Focus on the squeeze in your obliques.
7,Keep your neck neutral; imagine holding an apple under your chin.
8,Keep your torso upright.
8,Don't let your front knee extend past your toes.
8,Engage your core for balance.
9,Keep your hips square to the front.
9,Weight should be in the front heel.
9,Keep your chest up.
10,"Move only the ankle, not the leg."
10,Make the circles as large as possible.
10,Do this slow and controlled.
11,Great for improving circulation.
11,Focus on the stretch in the calf and shin.
11,Relax the rest of your leg.
12,Keep elbows close to your body.
12,Keep torso upright.
12,Don't lock out elbows at the top.
13,"Lean slightly forward to engage chest, upright for triceps."
13,Cross ankles for stability.
13,"Breathe in down, breathe out up."
14,Squeeze glutes at the top.
14,Don't hyperextend (arch) your back at the top.
14,Keep core engaged.
15,Keep the bar close to your body.
15,Elbows high and fast on the catch.
15,Explosive hip drive is key.
16,Retract shoulder blades.
16,Keep elbows at roughly 45 degrees.
16,Feet planted firmly.
17,"Sit back onto the box, don't just tap it."
17,Keep shins relatively vertical.
17,Maintain core tension on the box.
18,Move head out of the way of the bar.
18,Lock out arms overhead.
18,Keep core tight to protect lower back.
19,Keep back flat.
19,Bar stays close to body.
19,Fast elbows on the catch.
20,Keep elbows pinned to your sides.
20,Don't swing the body.
20,Squeeze biceps at the top.
21,Barpath should be vertical.
21,Keep bar close to shins.
21,"Chest up, hips down at start."
22,"Elbows go BACK, not stay at sides."
22,Keep bar in contact with body.
22,Squeeze hard at top.
23,Don't swing.
23,Slight bend in elbows is okay.
23,Engage core.
24,Small bend in knees.
24,Keep back extremely rigid.
24,Feel stretch in hamstrings.
25,Keep chest up.
25,Heels flat.
25,Lats engaged.
26,"Triple extension (ankles, knees, hips)."
26,Elbows high.
26,Bar close to body.
27,Chin tucked.
27,Shin vertical at top.
27,Full lockout.
28,Squeeze glutes hard.
28,Keep core engaged.
28,Use padding for knees.
29,Chest up.
29,Core tight.
29,Controlled steps.
30,Active shoulders (push up).
30,Core extremely tight.
30,Gaze forward.
31,Aggressive turnover.
31,Bar close.
31,Explosive hips.
32,Feel latch stretch.
32,Keep elbows in.
32,Control the weight.
33,Dip and Drive.
33,Head through window.
33,Core tight.
34,Body in straight line.
34,Elbows tucked.
34,Core tight.
35,Don't use legs (Strict).
35,Move head back then forward.
35,Tight abs.
36,Straight arms.
36,Don't roll shoulders.
36,Squeeze traps.
37,High skill move.
37,Speed is key.
37,Full depth.
38,Vertical torso.
38,Weight balanced.
38,Back knee hovers.
39,Combine movements smoothly.
39,Elbows high for squat.
39,Explosive clean.
40,Chest up.
40,Knees out.
40,Examples: High bar vs Low bar.
41,Tall box.
41,Control descent.
41,Minimize back leg help.
42,Control the rotation.
42,Keep legs together.
42,Core focus.
43,Athletic stance.
43,Core tight.
43,Rhythm.
44,Use core to slam.
44,Exhale on slam.
44,Triple extension.
45,Keep moving.
45,Breathe.
45,Focus on endurance.
46,Coordination.
46,Timing.
46,Cardio focus.
47,Balance.
47,Core.
47,Leg burn.
48,Lateral shoulder work.
48,Chest up.
48,Fast hands.
49,Full body.
49,Coordination.
49,Deep squats.
50,Small steps.
50,Keep hips low.
50,Core engaged.
51,Keep shoulders down.
51,Engage core to prevent arching.
51,Control the return phase.
52,Keep elbows back.
52,Chest open.
52,Full range of motion.
53,Imagine hugging a large tree.
53,Keep slight elbow bend constant.
53,Squeeze pecs at top depending on cable angle.
54,Keep lower back pressed down.
54,Point toes.
54,Breathe rhythmically.
55,Soft landing (silent).
55,Use arm swing.
55,Full hip extension at top.
56,Back flat as a table.
56,Explosive pull.
56,Reset every rep.
57,Elbows drive back.
57,Squeeze shoulder blades.
57,Knees soft.
58,Only forearms move.
58,Pause at full extension.
58,Neck neutral.
59,Relax the shoulder.
59,Let gravity work.
59,Small movements.
60,Zero muscle tension.
60,Use body sway to initiate.
60,Pain-free range.
61,.Keep chest up.
61,Squeeze lats.
61,Core bracing.
62,Squeeze shoulder blades.
62,Keep neck long.
62,Make do with what you have!
63,Pinkies up slightly.
63,Slight elbow bend.
63,Control descent.
64,Shoulder rotation is key.
64,Keep elbows wide.
64,Slow and controlled.
65,"Think 'Long', not 'High'."
65,Keep hips square.
65,Gaze aimed at floor.
66,Pause at top.
66,Control the drop.
66,Balance using a wall if needed.
67,Elbows tucked.
67,Head moves forward of hands.
67,Core tight.
68,Chest up.
68,Toes forward.
68,Sink deep.
69,Weight in heels/midfoot.
69,Knees track over toes.
69,Hands can counter-balance.
70,Torso stays very upright.
70,Knees wide.
70,Inner thigh focus.
71,Torso upright.
71,Controlled steps.
71,Train tracks stance.
72,Unstable surface increases difficulty.
72,Squeeze glutes.
72,Arms on floor for stability.
73,Keep core tight on plank.
73,Flat back on lift.
73,Wide feet.
74,Head supported.
74,Hips high.
74,Open chest.
75,Core stability.
75,Full range press.
75,Knuckles to ceiling.
76,Find the 'sweet spot'.
76,Chest up.
76,Control.
77,Shoulders over hands.
77,Keep BOSU level.
77,Fast or slow.
78,Squeeze glutes.
78,Push away from ball.
78,Breathe.
79,Don't arch back.
79,Glute focus.
79,Minimal hip shift.
80,Minimize hip wobble.
80,Switch lead arm.
80,Core brace.
81,Chest to platform.
81,Elbows tucked.
81,Core tight.
82,Straight line head to heels.
82,Elbow under shoulder.
82,Top arm reaches up.
83,Drive through heel.
83,Level hips.
83,Squeeze glute.
84,Extreme balance challenge.
84,Fix gaze.
84,Use arms.
85,Press evenly.
85,Slow tempo.
85,"Focus on stability, not weight."
86,Soft knees.
86,Core engaged.
86,Relax arms.
87,Control.
87,Reach for toes.
87,Don't touch floor.
88,Shoulders to ears.
88,Ribs in.
88,Stack hips over shoulders.
89,Snap punches.
89,Exhale on impact.
89,Protect face.
90,Torso lean slightly forward.
90,Deep stretch.
90,Drive front foot.
91,Efficiency.
91,Steady pace.
91,Breathe.
92,Fast feet.
92,Warmup drill.
92,Knees point down.
93,Elbows slightly bent (if handles).
93,Squeeze pecs hard.
