exercise_id,title,subtitle
1,Landing Stiffly,Absorb the impact by bending your knees immediately upon landing.
1,Rounding Back,Keep your spine neutral; avoid hunching over.
1,Incomplete Twist,Commit to the full 180-degree rotation for maximum effectiveness.
2,Using Momentum,Perform the rep slowly to ensure muscle engagement.
2,Pulling Neck,Keep your neck neutral; don't yank it forward.
2,Limited ROM,Go through the full range of motion for best results.
3,Arching Lower Back,Stop before your back sags; this causes injury.
3,Using Hips Only,"Movement should come from extending the torso, not just shifting hips."
3,Looking Up,Keep your gaze down to maintain a neutral neck.
4,Jerking Weight,"Use a smooth, controlled motion."
4,Partial Reps,Open your legs wide to get a full stretch.
4,Helping with Hands,"Keep hands on handles, don't push your legs with them."
5,Stepping on Rungs,Aim for the center of the spaces.
5,Looking Down,"Try to look slightly ahead, not staring directly at feet."
5,Flat Feet,Stay on your toes for agility.
6,Heels Lifting,Keep heels glued to the floor.
6,Knees Caving In,Push knees out actively.
6,Rounding Back,Keep your chest proud and core tight.
7,Straining Neck,"Lift with your abs, not your neck muscles."
7,Too Fast,Control the tempo to feel the contraction.
7,Shoulders on Floor,Keep shoulder blades off the floor to maintain tension.
8,Narrow Stance,"Step wide enough to maintain balance (railroad tracks, not tightrope)."
8,Front Knee Collapse,Keep knee aligned with second toe.
8,Leaning Forward,Keep torso vertical.
9,Twisting Hips,Try to keep hips facing forward.
9,Knee Pain,Don't force the depth if it hurts your knees.
9,Loss of Balance,Move slowly and focus on a fixed point.
10,Moving Leg,Isolate the movement to the ankle joint.
10,Rushing,Take your time to mobilize the joint.
10,Small Circles,Aim for maximum range of motion.
11,Jerky Movements,Keep the movement smooth.
11,Limited ROM,Push and pull to the end of your range.
11,Bending Knees,Keep legs relatively straight.
12,Flaring Elbows,Puts stress on shoulders; keep them tucked.
12,Shoulders Shrugging,Keep shoulders down and away from ears.
12,Using Momentum,Control the descent and ascent.
13,Going Too Deep,Can injure shoulders; stop at parallel.
13,Swinging Legs,Keep body stable.
13,Shoulder Impingement,Don't let shoulders roll forward.
14,Hyperextending,Stop when your body is straight.
14,Moving Too Fast,Use control to avoid spinal injury.
14,Head Up,Keep neck neutral with spine.
15,Arm Pulling,"Power comes from hips, not arms."
15,Slow Elbows,Turn elbows over quickly to catch.
15,Bar Swinging Out,Modify path to keep bar vertical.
16,Bouncing Bar,"Touch chest gently, don't bounce."
16,Butt Lifting,Keep glutes on the bench.
16,Flaring Elbows,Puts stress on rotator cuff.
17,Rocking,Don't rock back to gain momentum.
17,Relaxing on Box,Keep muscles engaged; spinal compression risk.
17,Knees Caving,Drive knees out.
18,Arching Back,Squeeze glutes to minimize arch.
18,Pressing Forward,Bar path should be vertical.
18,Not Using Legs,Use the leg drive for the 'push' part.
19,Rounding Back,Critical error; keep spine neutral.
19,Muscle Clean,Don't just use arms; use hip power.
19,Wide Stance,"Start hip-width, catch shoulder-width."
20,Swinging,Reduces bicep isolation.
20,Elbows Moving Forward,Keep elbows stationary.
20,Partial Reps,Fully extend arms at bottom.
21,Rounding Back,Keep spine neutral to avoid injury.
21,Bar Drift,Converting to squat; keep bar close.
21,Jerking Start,Pull the 'slack' out first.
22,Standard Curling,Ensure drag mechanic is used.
22,Using Shoulders,Isolate biceps.
22,Rushing,Focus on the squeeze.
23,Leaning Back,Keep torso vertical.
23,Lifting Too High,Stop at shoulder level.
23,Using Momentum,Control the weight.
24,Rounding Back,Very dangerous; lighten weight.
24,Squatting,"This is a hinge, not a squat."
24,Looking Up,Keep neck neutral.
25,Rounding Forward,Keep posture upright.
25,Hitting Calves,Adjust path slightly.
25,Grip Failure,Use straps if needed.
26,Reverse Curl,Elbows should be above wrists.
26,No Hip Drive,"Use legs, not just shoulders."
26,Slow Pull,Be explosive.
27,Hyperextending Back,Movement from hips/glutes.
27,Incomplete ROM,Lock out at the top.
27,Neck Strain,Look forward/tuck chin.
28,Using Low Back,Focus on glutes.
28,Leaning Forward,Keep upright.
28,Pain,Stop if knee pain occurs.
29,Knee Caving,Track knee over toe.
29,Hitting Floor,Don't slam knees.
29,Imbalance,Start light.
30,Arms Bending,Keep elbows locked.
30,Leaning Forward,Requires thoracic mobility.
30,Heels Lifting,Work on ankle mobility.
31,Pressing Out,Catch with locked arms.
31,Swinging Bar,Vertical path.
31,Slow Motion,Must be fast.
32,Bending Elbows Too Much,Turning into tricep extension.
32,Arching Back,Keep core engaged.
32,Going Too Heavy,Shoulder safety risk.
33,Squatting Too Deep,Just a dip.
33,Pressing Early,Drive legs first.
33,Arching,Ribs down.
34,Sagging Hips,Engage core.
34,Head Bobbing,Keep neck neutral.
